"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Amador" "El Dorado" 2016 480 435 40 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 3
"Amador" "Fresno" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 10 3
"Amador" "Placer" 2016 45 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 31 3
"Amador" "Shasta" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 45 3
"Amador" "San Joaquin" 2016 650 425 60 25 15 85 40 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 39 3
"Amador" "Sacramento" 2016 1410 1295 55 40 0 0 0 0 0 0 0 0 0 10 0 0 10 0 "CTPP_A302103_5YR_2016" 34 3
"Amador" "Glenn" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 11 3
"Amador" "Plumas" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 32 3
"Amador" "Yolo" 2016 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 57 3
"Amador" "Amador" 2016 8285 6560 465 160 20 0 0 4 0 0 0 0 20 320 0 0 50 690 "CTPP_A302103_5YR_2016" 3 3
"Amador" "Calaveras" 2016 980 850 50 0 15 10 0 40 0 0 0 0 0 0 0 0 20 0 "CTPP_A302103_5YR_2016" 5 3
"Amador" "Stanislaus" 2016 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 50 3
"Butte" "Santa Cruz" 2016 30 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 "CTPP_A302103_5YR_2016" 44 4
"Butte" "Kern" 2016 40 30 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 15 4
"Butte" "Orange" 2016 40 35 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 "CTPP_A302103_5YR_2016" 30 4
"Butte" "Siskiyou" 2016 10 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 47 4
"Butte" "Lassen" 2016 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 18 4
"Butte" "Solano" 2016 15 4 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 48 4
"Butte" "Sutter" 2016 1620 1185 305 10 50 15 10 0 0 0 0 0 0 0 0 15 30 0 "CTPP_A302103_5YR_2016" 51 4
"Butte" "Colusa" 2016 90 75 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 6 4
"Butte" "Yolo" 2016 75 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 57 4
